"","horizontal","vertical","radius","hue","saturation","light"
"1",0,-122.7,33,0,92.5,52.5
"2",18,-122.7,33,0,92.5,52.5
"3",70.8,-122.7,33,0,92.5,52.5
"4",0,-56,33,0,92.5,52.5
"5",18,-56,33,0,92.5,52.5
"6",70.8,-56,33,0,92.5,52.5
"7",0,0,33,0,92.5,52.5
"8",18,0,33,0,92.5,52.5
"9",70.8,0,33,0,92.5,52.5
"10",0,42,33,0,92.5,52.5
"11",18,42,33,0,92.5,52.5
"12",70.8,42,33,0,92.5,52.5
"13",0,-122.7,87,0,92.5,52.5
"14",18,-122.7,87,0,92.5,52.5
"15",70.8,-122.7,87,0,92.5,52.5
"16",0,-56,87,0,92.5,52.5
"17",18,-56,87,0,92.5,52.5
"18",70.8,-56,87,0,92.5,52.5
"19",0,0,87,0,92.5,52.5
"20",18,0,87,0,92.5,52.5
"21",70.8,0,87,0,92.5,52.5
"22",0,42,87,0,92.5,52.5
"23",18,42,87,0,92.5,52.5
"24",70.8,42,87,0,92.5,52.5
"25",0,-122.7,100,0,92.5,52.5
"26",18,-122.7,100,0,92.5,52.5
"27",70.8,-122.7,100,0,92.5,52.5
"28",0,-56,100,0,92.5,52.5
"29",18,-56,100,0,92.5,52.5
"30",70.8,-56,100,0,92.5,52.5
"31",0,0,100,0,92.5,52.5
"32",18,0,100,0,92.5,52.5
"33",70.8,0,100,0,92.5,52.5
"34",0,42,100,0,92.5,52.5
"35",18,42,100,0,92.5,52.5
"36",70.8,42,100,0,92.5,52.5
"37",0,-122.7,33,27.5,92.5,52.5
"38",18,-122.7,33,27.5,92.5,52.5
"39",70.8,-122.7,33,27.5,92.5,52.5
"40",0,-56,33,27.5,92.5,52.5
"41",18,-56,33,27.5,92.5,52.5
"42",70.8,-56,33,27.5,92.5,52.5
"43",0,0,33,27.5,92.5,52.5
"44",18,0,33,27.5,92.5,52.5
"45",70.8,0,33,27.5,92.5,52.5
"46",0,42,33,27.5,92.5,52.5
"47",18,42,33,27.5,92.5,52.5
"48",70.8,42,33,27.5,92.5,52.5
"49",0,-122.7,87,27.5,92.5,52.5
"50",18,-122.7,87,27.5,92.5,52.5
"51",70.8,-122.7,87,27.5,92.5,52.5
"52",0,-56,87,27.5,92.5,52.5
"53",18,-56,87,27.5,92.5,52.5
"54",70.8,-56,87,27.5,92.5,52.5
"55",0,0,87,27.5,92.5,52.5
"56",18,0,87,27.5,92.5,52.5
"57",70.8,0,87,27.5,92.5,52.5
"58",0,42,87,27.5,92.5,52.5
"59",18,42,87,27.5,92.5,52.5
"60",70.8,42,87,27.5,92.5,52.5
"61",0,-122.7,100,27.5,92.5,52.5
"62",18,-122.7,100,27.5,92.5,52.5
"63",70.8,-122.7,100,27.5,92.5,52.5
"64",0,-56,100,27.5,92.5,52.5
"65",18,-56,100,27.5,92.5,52.5
"66",70.8,-56,100,27.5,92.5,52.5
"67",0,0,100,27.5,92.5,52.5
"68",18,0,100,27.5,92.5,52.5
"69",70.8,0,100,27.5,92.5,52.5
"70",0,42,100,27.5,92.5,52.5
"71",18,42,100,27.5,92.5,52.5
"72",70.8,42,100,27.5,92.5,52.5
"73",0,-122.7,33,90,92.5,52.5
"74",18,-122.7,33,90,92.5,52.5
"75",70.8,-122.7,33,90,92.5,52.5
"76",0,-56,33,90,92.5,52.5
"77",18,-56,33,90,92.5,52.5
"78",70.8,-56,33,90,92.5,52.5
"79",0,0,33,90,92.5,52.5
"80",18,0,33,90,92.5,52.5
"81",70.8,0,33,90,92.5,52.5
"82",0,42,33,90,92.5,52.5
"83",18,42,33,90,92.5,52.5
"84",70.8,42,33,90,92.5,52.5
"85",0,-122.7,87,90,92.5,52.5
"86",18,-122.7,87,90,92.5,52.5
"87",70.8,-122.7,87,90,92.5,52.5
"88",0,-56,87,90,92.5,52.5
"89",18,-56,87,90,92.5,52.5
"90",70.8,-56,87,90,92.5,52.5
"91",0,0,87,90,92.5,52.5
"92",18,0,87,90,92.5,52.5
"93",70.8,0,87,90,92.5,52.5
"94",0,42,87,90,92.5,52.5
"95",18,42,87,90,92.5,52.5
"96",70.8,42,87,90,92.5,52.5
"97",0,-122.7,100,90,92.5,52.5
"98",18,-122.7,100,90,92.5,52.5
"99",70.8,-122.7,100,90,92.5,52.5
"100",0,-56,100,90,92.5,52.5
"101",18,-56,100,90,92.5,52.5
"102",70.8,-56,100,90,92.5,52.5
"103",0,0,100,90,92.5,52.5
"104",18,0,100,90,92.5,52.5
"105",70.8,0,100,90,92.5,52.5
"106",0,42,100,90,92.5,52.5
"107",18,42,100,90,92.5,52.5
"108",70.8,42,100,90,92.5,52.5
"109",0,-122.7,33,290,92.5,52.5
"110",18,-122.7,33,290,92.5,52.5
"111",70.8,-122.7,33,290,92.5,52.5
"112",0,-56,33,290,92.5,52.5
"113",18,-56,33,290,92.5,52.5
"114",70.8,-56,33,290,92.5,52.5
"115",0,0,33,290,92.5,52.5
"116",18,0,33,290,92.5,52.5
"117",70.8,0,33,290,92.5,52.5
"118",0,42,33,290,92.5,52.5
"119",18,42,33,290,92.5,52.5
"120",70.8,42,33,290,92.5,52.5
"121",0,-122.7,87,290,92.5,52.5
"122",18,-122.7,87,290,92.5,52.5
"123",70.8,-122.7,87,290,92.5,52.5
"124",0,-56,87,290,92.5,52.5
"125",18,-56,87,290,92.5,52.5
"126",70.8,-56,87,290,92.5,52.5
"127",0,0,87,290,92.5,52.5
"128",18,0,87,290,92.5,52.5
"129",70.8,0,87,290,92.5,52.5
"130",0,42,87,290,92.5,52.5
"131",18,42,87,290,92.5,52.5
"132",70.8,42,87,290,92.5,52.5
"133",0,-122.7,100,290,92.5,52.5
"134",18,-122.7,100,290,92.5,52.5
"135",70.8,-122.7,100,290,92.5,52.5
"136",0,-56,100,290,92.5,52.5
"137",18,-56,100,290,92.5,52.5
"138",70.8,-56,100,290,92.5,52.5
"139",0,0,100,290,92.5,52.5
"140",18,0,100,290,92.5,52.5
"141",70.8,0,100,290,92.5,52.5
"142",0,42,100,290,92.5,52.5
"143",18,42,100,290,92.5,52.5
"144",70.8,42,100,290,92.5,52.5
